name,parent,value
Origin,,
D1,Origin,849433
D2,Origin,1824886
D3,Origin,2783579
D4,Origin,5214410
D5,Origin,9584500
D6,Origin,14983411
D7,Origin,25060510
D8,Origin,64156065
